ID Cliente,Nome Completo,CPF,E-mail,Estado,Data Nascimento,Telefone,Última Compra,Valor Compra,Status Cliente
1,Ana Lívia Nascimento,,enzo-gabrielduarte@vieira.com,MA,19/01/1950,+55 (041) 5322 5412,2025-06-10,452.96,Inativo
2,NATÁLIA LIMA,,sophiamoraes@uol.com.br,ES,05/01/1946,11 4797 8007,2025-07-20,2109.21,Inativo
3,Daniela Souza,944962,lopesmaria-vitoria@gmail.com,PA,11/05/1963,+55 11 2219 5671,2025-06-05,529.01,Inativo
4,Joana Porto,845.067.913-39,zdias@souza.com,RS,26/09/1980,+55 21 5062 8931,2025-02-25,2769.16,Bloqueado
5,Diego Moura,570.413.692-34,leandrofreitas@barbosa.com,Espírito Santo,07/02/1946,+55 84 6142-4474,2024-09-11,1179.3,Ativo
6,João Miguel Gonçalves,218.376.459-73,caldeirabryan@bol.com.br,AP,12/08/1978,+55 31 3615 7101,2025-03-06,375.58,Bloqueado
7,Dra. Raquel Farias,304.725.986-00,maria54@uol.com.br,AP,28/08/1999,+55 71 2117-8957,2024-11-29,4217.4,Ativo
8,Valentina Vieira,,msouza@ig.com.br,PE,28/03/1982,+55 11 5246-0687,2024-11-19,1587.1,Bloqueado
9,Ana Clara Fernandes,102.495.783-79,dsilveira@lima.net,SP,08/07/1995,+55 (041) 4336 4071,2025-08-07,2153.6,Bloqueado
10,Arthur Nunes,890.735.621-12,alvessofia@cardoso.br,MT,22/02/2004,,2024-09-04,3964.56,Inativo
11,Francisco Cunha,842.701.935-14,costelamariana@hotmail.com,RR,27/03/1989,+55 11 5701-3307,2024-10-01,590.47,Bloqueado
12,Sr. Thales Cardoso,951.370.842-04,thalescaldeira@ig.com.br,RJ,31/11/1985,+55 21 2690 2058,2025-03-16,4860.0,Ativo
13,Gustavo Rezende,491.560.378-48,fernandada-costa@barbosa.com,PA,09/01/1971,+55 71 4940 8826,2025-06-12,4768.43,Bloqueado
14,Eduardo Barbosa,271.960.354-61,giovanna05@fogaca.net,RR,11/07/1993,+55 (081) 9123-4637,2025-02-05,1219.54,Bloqueado
15,Ana da Mata,,pedro-lucasda-cunha@nunes.net,SE,05/04/2004,(061) 4326 7457,2025-02-08,2386.91,Bloqueado
