ID Cliente;Nome Completo;CPF;E-mail;Estado;Data Nascimento;Telefone;Última Compra;Valor Compra;Status Cliente;registros_duplicados;email_valido;Telefone_valido;cpf_valido;data_nascimento_valida;ultima_compra_valida
1;Ana Lívia Nascimento;nan;enzo-gabrielduarte@vieira.com;MA;19/01/1950;(41) 5322-5412;2025-06-10;452,96;Inativo;False;False;True;False;True;True
2;Natália Lima;nan;sophiamoraes@uol.com.br;ES;05/01/1946;(11) 4797-8007;2025-07-20;2109,21;Inativo;False;True;True;False;True;True
3;Daniela Souza;944962;lopesmaria-vitoria@gmail.com;PA;11/05/1963;(11) 2219-5671;2025-06-05;529,01;Inativo;False;True;True;False;True;True
4;Joana Porto;84506791339;zdias@souza.com;RS;26/09/1980;(21) 5062-8931;2025-02-25;2769,16;Bloqueado;False;False;True;True;True;True
5;Diego Moura;57041369234;leandrofreitas@barbosa.com;ES;07/02/1946;(84) 6142-4474;2024-09-11;1179,3;Ativo;False;False;True;True;True;True
6;João Miguel Gonçalves;21837645973;caldeirabryan@bol.com.br;AP;12/08/1978;(31) 3615-7101;2025-03-06;375,58;Bloqueado;False;True;True;True;True;True
7;Raquel Farias;30472598600;maria54@uol.com.br;AP;28/08/1999;(71) 2117-8957;2024-11-29;4217,4;Ativo;False;True;True;True;True;True
8;Valentina Vieira;nan;msouza@ig.com.br;PE;28/03/1982;(11) 5246-0687;2024-11-19;1587,1;Bloqueado;False;True;True;False;True;True
9;Ana Clara Fernandes;10249578379;dsilveira@lima.net;SP;08/07/1995;(41) 4336-4071;2025-08-07;2153,6;Bloqueado;False;False;True;True;True;True
10;Arthur Nunes;89073562112;alvessofia@cardoso.br;MT;22/02/2004;nan;2024-09-04;3964,56;Inativo;False;False;False;True;True;True
11;Francisco Cunha;84270193514;costelamariana@hotmail.com;RR;27/03/1989;(11) 5701-3307;2024-10-01;590,47;Bloqueado;False;True;True;True;True;True
12;Thales Cardoso;95137084204;thalescaldeira@ig.com.br;RJ;31/11/1985;(21) 2690-2058;2025-03-16;4860,0;Ativo;False;True;True;True;False;True
13;Gustavo Rezende;49156037848;fernandada-costa@barbosa.com;PA;09/01/1971;(71) 4940-8826;2025-06-12;4768,43;Bloqueado;False;False;True;True;True;True
14;Eduardo Barbosa;27196035461;giovanna05@fogaca.net;RR;11/07/1993;(81) 9123-4637;2025-02-05;1219,54;Bloqueado;False;False;True;True;True;True
15;Ana Da Mata;nan;pedro-lucasda-cunha@nunes.net;SE;05/04/2004;(61) 4326-7457;2025-02-08;2386,91;Bloqueado;False;False;True;False;True;True
16;Maria Vitória Cardoso;64125073880;laviniamartins@bol.com.br;TO;12/09/1964;(81) 6811-9456;2024-10-07;2006,98;Bloqueado;False;True;True;True;True;True
17;Igor Novaes;84350167900;calebe93@bol.com.br;MA;29/04/1983;(84) 7193-1946;2025-05-03;1116,68;Ativo;False;True;True;True;True;True
18;Pedro Oliveira;nan;araujoagatha@oliveira.com;DF;17/07/1988;(41) 3047-1812;2024-11-29;2437,36;Bloqueado;False;False;True;False;True;True
19;Isabella Almeida;78021645911;rodrigosouza@yahoo.com.br;SE;02/04/1973;(61) 9933-2328;2025-06-22;2166,63;Inativo;False;True;True;True;True;True
20;Maria Fernanda Cardoso;90237485656;joanaduarte@da.org;PE;16/01/1964;(41) 2425-6445;2025-07-01;564,16;Ativo;False;False;True;True;True;True
21;Evelyn Das Neves;69358174048;davicavalcanti@lima.br;RR;31/01/1997;(71) 4765-1908;2025-07-05;2760,62;Ativo;True;False;True;True;True;True
22;Alice Ribeiro;197793;stellaporto@martins.br;PE;25/01/2002;(21) 7247-0016;2025-01-07;2017,18;Ativo;False;False;True;False;True;True
23;Guilherme Gomes;nan;camposjuliana@gmail.com;ES;25/07/2004;(31) 3415-8642;2024-11-26;3657,92;Bloqueado;False;True;True;False;True;True
24;Vinicius Da Mota;91063278422;piresotavio@yahoo.com.br;RJ;07/06/1996;nan;2024-10-09;269,71;Inativo;False;True;False;True;True;True
